ID,Region of residence,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Medium for online class,Time spent on self study,Time spent on fitness,Time spent on sleep,Time spent on social media,Prefered social media platform,Time spent on TV,Number of meals per day,Change in your weight,Healthissueduringlockdown,Stress busters,Time utilized,Relationship with around,What you miss the most
R128,1,19,2,0,1,4,1,8,2,2,0,4,0,0,Sketching and writing,0,0,Roaming around freely
R129,0,15,1,3,1,3,1,6,4,1,1.5,4,2,0,Listening to music,1,1,School/college
R131,0,20,3,0,1,3,0,9,2,2,2,2,0,0,Meditation,1,1,Travelling
R132,1,17,6,2,0,4,1,8,1,2,1,2,1,0,Listening to music,0,1,School/college
R133,1,18,2,0,1,2,1,9,2,3,2,2,2,0,Watching web series,1,1,Travelling
R134,1,20,2,0,1,4,0,10,4,1,2,3,0,0,Cooking,0,1,School/college
R135,1,18,5,2,1,1,1,8,1,2,0,4,2,0,Sleep,1,1,Roaming around freely
R136,1,22,0.1,1,1,2.5,1,12,0.3,2,0,5,2,0,Online gaming,0,1,Only friends
R137,1,18,3,0,1,5,1,7,2,2,0,3,1,0,Online gaming,0,1,Roaming around freely
R138,1,15,4,2,1,2,0.5,6,1,1,1,3,1,0,Dancing,0,1,Eating outside
R139,0,22,1,0,0,10,1,7,1,1,0,3,1,0,Writing,1,1,Roaming around freely
R140,1,19,3,0,0,2,1,9,1,2,0,3,0,0,Online gaming,0,1,School/college
R141,1,20,3,0,1,5,0,7,2,0,1,2,1,1,Watching web series,1,1,School/college
R142,0,20,3,0,1,3,0,9,2,2,2,2,0,0,Meditation,1,1,Travelling
R143,1,20,1,0,1,1,0,6,0,6,0,2,2,0,Sleep,1,1,School/college
R144,1,18,2,1,1,6,1,7,1,2,1,2,2,0,Listening to music,1,1,"Friends , relatives"
R145,1,19,2,0,1,2,2,8,2,2,3,2,2,0,Watching web series,1,1,Eating outside
R146,0,14,4,2,1,2,1,8,2,1,1,3,1,0,Listening to music,1,0,"Friends , relatives"
R147,1,20,6,2,0,1,1,6,1,3,0,3,2,1,Talking to your relatives,1,1,School/college
R148,1,20,3,2,0,2,1,8,2,3,2,3,1,0,Listening to music,0,0,Roaming around freely
R149,1,19,6,0,1,3,0,7,2,1,0.5,2,2,1,Online gaming,0,1,"Friends , relatives"
R150,1,19,1,2,0,1,1,10,1,0,0,3,1,0,Listening to music,1,1,Eating outside
R151,1,18,2,0,1,2,1,10,2,1,0,3,1,0,Listening to music,0,0,Eating outside
R152,0,21,4,0,1,4,1,8,2,0,0,3,2,0,Sleep,0,1,Roaming around freely
R153,0,15,4,2,1,7,2,6,1,0,1,4,1,0,Listening to music,1,1,"Friends , relatives"
R154,1,20,5,0,2,3,1,8,2,1,3,4,2,0,Listening to music,0,0,Roaming around freely
R155,0,21,1,0,1,3,0,6,1,0,1,1,0,1,Reading books,0,1,Eating outside
R156,1,19,0.5,0,1,7,2,7,0.1,0,0,4,1,1,Listening to music,1,1,"Friends , relatives"
R157,1,20,3,0,0,1,0,6,2,4,0,2,2,0,pubg,0,1,Eating outside
R158,1,21,5,2,1,1,0,5,1,1,0,2,0,0,Online gaming,0,0,Travelling
R159,1,21,4,4,0,6,2,6,1,2,1,3,1,0,Cooking,1,1,Eating outside
R160,1,21,3,0,1,2,0,7,2,5,0,3,2,1,Reading books,0,1,School/college
R161,1,20,4,2,0,2,0,7,2,7,4,3,2,0,Online gaming,0,0,"Friends , relatives"
R162,0,20,6,0,1,3,0,8,4,3,2,3,2,1,Sleep,0,1,School/college
R163,0,23,0,0,0,1,0,10,4,3,0,4,2,0,Online gaming,0,1,Travelling
R164,0,21,4,0,1,3,1,8,1,2,1,3,1,1,Online surfing,0,1,"Friends , relatives"
R165,1,22,1,0,1,4,1,7,2,3,0,2,2,1,Watching web series,0,0,Roaming around freely
R166,1,23,3,3,2,0,0,12,4,0,0,2,2,0,Cooking,0,0,Travelling
R167,1,22,4,3,1,4,0.5,8,2,1,0,3,2,0,Sleeping,1,0,School/college
R168,0,21,0,0,1,1,0,7,10,1,0,7,2,0,Listening to music,0,1,School/college
R169,0,20,0,0,1,3,2,12,1,0,0,3,2,0,Scrolling through social media,0,0,School/college
R170,0,15,4,2,1,2,3,7,1,0,2,4,2,0,Online gaming,0,1,"Friends , relatives"
R171,0,20,0,0,1,3,2,8,2,1,1,3,1,1,Listening to music,1,1,School/college
R172,0,20,0,0,1,1,0,8,0.5,1,1,3,0,1,Reading books,0,1,Roaming around freely
R173,0,16,4,4,0,3,2,10,1,2,1,3,2,0,Online gaming,1,1,"Friends , relatives"
R174,0,22,1,2,1,3,1,7,1,1,0,3,1,0,Sleep,0,1,School/college
R175,1,20,5,2,0,4,0,10,2,3,4,3,0,0,Sleep,1,1,Roaming around freely
R176,0,21,0,3,1,4,1,8,2,0,0,2,0,1,Online gaming,1,1,Colleagues
R177,0,34,3,3,0,3,1,7,1,1,2,3,1,0,Sleeping,1,1,Travelling
R178,0,22,0,2,0,3,1,9,0,9,2,5,0,0,Watching web series,0,1,Roaming around freely
R179,1,22,6,3,0,2,1,8,4,0,0,4,1,0,Online gaming,0,1,Colleagues
R180,0,21,1,2,0,1,2,7,2,2,1,4,2,0,Listening to music,0,1,"Friends , relatives"
R181,0,20,1,0,1,2,1,8,3,1,0,3,1,0,Watching web series,1,0,"Friends , relatives"
R182,0,21,3,2,1,0.5,3,6,2,0,0,3,1,0,Online gaming,1,1,School/college
R183,0,19,2,0,1,2,1,8,2,0,2,3,2,1,Listening to music,1,1,Roaming around freely
R184,0,22,1,0,1,7,0,7,1,4,0,3,1,0,Talking to your relatives,1,1,"Friends , relatives"
R185,0,20,3,0,0,1.5,1,6,2,8,1.5,2,0,1,Watching web series,0,0,"Friends , relatives"
R186,0,14,4,0,1,1,0,9,1.5,1,5,3,1,0,Reading books,0,1,"Friends , relatives"
R187,1,22,1,2,1,4,0.5,11,1,0,0,3,1,1,Listening to music,0,0,School/college
R188,0,22,2,2,0,5,0,8,3,0,1,3,2,0,Listening to music,1,1,School/college
R189,1,19,2,1,1,10,0.25,8,2,0,0,3,2,0,Talking to your relatives,1,1,School/college
R190,0,21,1,2,1,0,1,6,2,1,0,2,0,0,Online gaming,0,1,School/college
R191,0,15,5,2,1,5,0,7,3,0,2,3,1,0,Watching web series,0,1,School/college
R192,0,21,3,3,0,3,0.5,8,4,2,0,3,1,0,Web Series,0,1,Colleagues
R193,1,21,3,0,1,8,3,7,3,2,0,3,0,1,Talking to your relatives,0,0,School/college
R194,0,34,3,2,0,3,1,8,1,1,1,3,1,0,Talking to your relatives,1,1,Travelling
R195,0,22,3,0,0,0,5,8,10,5,0,3,1,0,Talking to your relatives,0,1,"Friends , relatives"
R196,0,34,1.5,1,0,1,0,6,1,3,0,2,1,1,Online surfing,0,0,Taking kids to park
R197,1,21,4,3,0,4,1,7,2,0,2,3,1,0,Talking,1,1,Colleagues
R198,0,20,3,2,0,3,1,7,1,0,0,3,1,0,Listening to music,1,1,School/college
R199,0,20,3,0,0,5,0,7.5,2,1,0.5,4,2,0,Sleep,1,0,School/college
R200,0,25,2,0,0,3,1,8,4,4,1,2,2,0,Watching web series,0,0,Roaming around freely
R201,0,19,0.5,0,1,3,1,8,1,0,0,2,1,0,Sleep,1,1,School/college
